Year,Month,Week,Long_Signals,Short_Signals,Long_Bonus,Short_Bonus,Step_Min,Step_Max
2022,2,8,819,666,1296.5,1058.0,169737,170408
2022,2,9,126,220,173.0,338.5,170409,170504
2022,3,9,534,879,783.0,1106.0,170505,171080
2022,3,10,544,1365,795.5,1883.5,171081,171752
2022,3,11,1482,838,2116.5,1010.0,171753,172424
2022,3,12,1396,586,1714.5,697.0,172425,173001
2022,3,13,1051,244,1291.0,370.0,173002,173385
2022,4,13,434,224,633.0,267.5,173386,173673
2022,4,14,210,1112,300.5,1523.0,173674,174345
2022,4,15,650,986,1046.0,1483.5,174346,175017
2022,4,16,763,868,1076.5,1331.0,175018,175689
2022,4,17,573,759,905.0,1159.0,175690,176265
2022,5,17,29,121,50.0,188.5,176266,176361
2022,5,18,456,1006,644.0,1540.5,176362,177033
2022,5,19,549,874,769.5,1456.5,177034,177705
2022,5,20,459,998,757.5,1660.5,177706,178377
2022,5,21,496,733,757.5,1177.5,178378,179049
2022,5,22,594,28,875.5,38.0,179050,179241
2022,6,22,379,994,520.0,1349.5,179242,179721
2022,6,23,738,1426,1078.0,1895.0,179722,180393
2022,6,24,268,1030,375.5,1516.0,180394,181065
2022,6,25,835,581,1266.0,1070.0,181066,181737
2022,6,26,303,816,408.0,1242.0,181738,182121
2022,7,26,379,616,561.0,1046.5,182122,182409
2022,7,27,1069,623,1558.0,857.0,182410,183081
2022,7,28,680,1452,1093.0,1960.5,183082,183753
2022,7,29,1450,656,1868.5,763.5,183754,184425
2022,7,30,1286,785,1749.5,989.0,184426,185097
2022,8,31,1108,1146,1366.5,1555.5,185098,185769
2022,8,32,1505,387,1904.0,448.0,185770,186441
2022,8,33,598,1253,554.5,1724.5,186442,187113
2022,8,34,463,1147,658.5,1904.0,187114,187785
2022,8,35,374,217,635.0,366.5,187786,188073
2022,9,35,193,853,250.5,1234.0,188074,188457
2022,9,36,1016,684,1485.0,1083.0,188458,189129
2022,9,37,716,881,1022.0,1333.0,189130,189801
2022,9,38,463,1064,619.5,1465.0,189802,190378
2022,9,39,607,806,819.0,1243.0,190379,190858
2022,10,39,62,587,69.0,801.5,190859,191050
2022,10,40,982,997,1424.5,1258.0,191051,191722
2022,10,41,481,1426,775.5,2040.0,191723,192394
2022,10,42,576,1393,863.0,1876.0,192395,193066
2022,10,43,1574,646,2032.0,743.5,193067,193738
2022,10,44,116,111,134.0,152.0,193739,193834
2022,11,44,1125,669,1481.0,974.0,193835,194410
2022,11,45,429,1013,651.0,1495.5,194411,195082
2022,11,46,651,926,973.0,1535.0,195083,195754
2022,11,47,614,712,899.5,1118.0,195755,196426
2022,11,48,499,281,801.0,497.0,196427,196714
2022,12,48,639,403,856.0,529.0,196715,197098
2022,12,49,840,1511,1299.0,2030.0,197099,197770
2022,12,50,894,926,1163.5,1252.0,197771,198442
2022,12,51,662,1345,1076.0,1879.5,198443,199114
2022,12,52,521,1029,818.5,1488.5,199115,199690
2023,1,1,1078,691,1560.5,883.5,199787,200458
2023,1,2,2845,146,3579.0,191.0,200459,201130
2023,1,3,1669,254,2266.0,343.0,201131,201802
2023,1,4,1115,461,1615.0,665.5,201803,202474
2023,1,5,220,104,329.0,110.5,202475,202666
2023,1,52,103,123,150.0,184.0,199691,199786
2023,2,5,687,437,954.0,602.0,202667,203146
2023,2,6,490,798,692.0,1223.5,203147,203818
2023,2,7,1625,436,2250.0,527.0,203819,204490
2023,2,8,908,528,1393.5,661.0,204491,205162
2023,2,9,194,190,244.5,244.0,205163,205354
2023,3,9,472,981,650.5,1375.0,205355,205834
2023,3,10,379,1195,595.5,1662.0,205835,206506
2023,3,11,2285,174,3065.0,201.5,206507,207178
2023,3,12,784,388,1092.0,522.5,207179,207755
2023,3,13,730,301,1041.5,403.5,207756,208235
2023,4,13,448,145,661.5,221.5,208236,208427
2023,4,14,764,887,830.0,1214.5,208428,209099
2023,4,15,1816,272,2281.5,358.0,209100,209771
2023,4,16,616,847,846.5,1299.5,209772,210443
2023,4,17,1199,659,1773.0,995.5,210444,211115
2023,5,18,916,890,1166.5,1261.0,211116,211787
2023,5,19,273,1013,475.5,1362.5,211788,212459
2023,5,20,627,963,956.5,1588.5,212460,213131
2023,5,21,907,537,1331.0,807.5,213132,213803
2023,5,22,602,218,783.5,296.0,213804,214091
2023,6,22,480,780,679.0,1042.0,214092,214475
2023,6,23,480,1497,684.5,2151.0,214476,215147
2023,6,24,761,653,989.5,872.0,215148,215819
2023,6,25,2071,237,2588.5,310.0,215820,216491
2023,6,26,627,317,843.0,466.5,216492,216971
2023,7,26,192,98,236.5,149.0,216972,217163
2023,7,27,590,826,799.0,1203.0,217164,217835
2023,7,28,1224,689,1562.0,1024.0,217836,218507
2023,7,29,837,900,1120.0,1300.5,218508,219179
2023,7,30,560,1493,942.5,2086.0,219180,219851
2023,7,31,126,221,186.5,371.5,219852,219947
2023,8,31,364,1647,526.5,2094.0,219948,220523
2023,8,32,740,1086,979.0,1483.0,220524,221195
2023,8,33,305,1269,465.0,1823.5,221196,221867
2023,8,34,399,779,583.0,1216.5,221868,222539
2023,8,35,527,604,730.0,837.0,222540,222923
2023,9,35,82,366,125.0,606.0,222924,223211
2023,9,36,488,1558,744.0,2291.0,223212,223883
2023,9,37,1120,1271,1544.5,1772.5,223884,224555
2023,9,38,711,775,958.5,1078.5,224556,225132
2023,9,39,897,732,1312.0,912.0,225133,225708
2023,10,39,316,61,406.5,120.0,225709,225804
2023,10,40,1149,331,1472.5,400.0,225805,226476
2023,10,41,472,766,660.0,1151.5,226477,227148
2023,10,42,2241,225,2965.5,298.0,227149,227820
2023,10,43,1824,288,2293.0,381.5,227821,228492
2023,10,44,332,105,421.5,125.0,228493,228684
2023,11,44,925,164,1207.0,252.5,228685,229164
2023,11,45,1489,302,2043.5,407.0,229165,229836
2023,11,46,720,689,1009.0,1021.0,229837,230508
2023,11,47,936,360,1290.0,507.0,230509,231180
2023,11,48,548,516,659.5,667.0,231181,231564
2023,12,48,869,37,1151.0,42.5,231565,231852
2023,12,49,1816,324,2330.0,442.0,231853,232524
2023,12,50,876,764,1183.0,1047.5,232525,233196
2023,12,51,1337,549,1833.5,659.0,233197,233868
2023,12,52,1160,936,1264.0,1168.5,233869,234540
2024,1,1,1198,683,1572.0,805.5,234541,235212
2024,1,2,1215,893,1556.5,1161.0,235213,235884
2024,1,3,431,1289,733.5,1760.0,235885,236556
2024,1,4,901,631,1332.5,976.0,236557,237228
2024,1,5,558,303,745.5,320.5,237229,237516
2024,2,5,576,709,744.0,884.0,237517,237900
2024,2,6,1949,540,2499.5,609.0,237901,238572
2024,2,7,1451,290,1915.0,353.5,238573,239244
2024,2,8,623,708,861.5,914.0,239245,239916
2024,2,9,1432,96,1788.5,131.5,239917,240300
2024,3,9,620,192,770.0,215.0,240301,240588
2024,3,10,1178,179,1695.5,251.5,240589,241260
2024,3,11,1289,447,1825.0,605.0,241261,241932
2024,3,12,1071,758,1591.0,1154.5,241933,242604
2024,3,13,1130,572,1514.0,629.0,242605,243276
2024,4,14,985,772,1279.5,995.5,243277,243948
2024,4,15,867,939,1085.5,1156.5,243949,244620
2024,4,16,697,872,1093.5,1385.0,244621,245292
2024,4,17,697,1164,1023.5,1615.5,245293,245964
2024,4,18,100,510,131.5,657.0,245965,246156
2024,5,18,669,378,1026.5,609.5,246157,246636
2024,5,19,622,1466,914.0,1996.5,246637,247308
2024,5,20,1622,609,2130.0,808.5,247309,247980
2024,5,21,1171,407,1589.0,528.5,247981,248652
2024,5,22,475,680,528.5,831.5,248653,249132
2024,6,22,208,261,208.0,390.5,249133,249324
2024,6,23,1758,322,2318.0,415.0,249325,249996
2024,6,24,639,1209,849.0,1702.5,249997,250668
2024,6,25,620,1197,883.5,1736.0,250669,251340
2024,6,26,673,938,1003.5,1438.0,251341,252012
2024,7,27,647,883,974.5,1306.5,252013,252684
2024,7,28,833,749,1130.5,1311.5,252685,253356
2024,7,29,1473,302,2013.0,378.5,253357,254028
2024,7,30,1072,397,1453.5,429.5,254029,254700
2024,7,31,275,228,386.0,281.5,254701,254988
2024,8,31,307,720,489.0,952.0,254989,255372
2024,8,32,739,528,1109.5,744.0,255373,256044
2024,8,33,241,489,379.0,830.0,256045,256380
